iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
352,720896,68,13.887108,29.2500,,
353,722944,64,14.125608,30.6875,,
354,724992,67,14.351491,29.7463,,
355,727040,69,14.062313,28.5072,13.420893,50.0000
356,729088,77,14.195442,25.6753,,
357,731136,85,14.373753,23.4353,,
358,733184,73,14.059640,26.9041,,
359,735232,69,14.072586,28.8696,,
360,737280,76,13.912851,25.9605,13.763728,36.2500
361,739328,68,13.806255,29.3235,,
362,741376,70,14.060337,28.7143,,
363,743424,68,14.237541,28.7794,,
364,745472,71,13.997948,27.7746,,
365,747520,75,14.093786,26.2400,14.039231,33.0000
366,749568,77,13.984654,26.2468,,
367,751616,64,14.229151,30.2500,,
368,753664,78,14.017804,25.3974,,
369,755712,76,14.386063,26.1053,,
370,757760,73,14.151618,26.9041,14.513102,33.0000
371,759808,72,14.216360,27.5833,,
372,761856,65,13.929289,30.8308,,
373,763904,73,14.039759,27.1644,,
374,765952,76,14.083159,26.0921,,
375,768000,73,14.228066,26.7671,13.984553,28.5000
376,770048,75,14.249874,26.8667,,
377,772096,71,14.095978,27.7746,,
378,774144,75,14.254648,26.1867,,
379,776192,70,14.121335,28.3143,,
380,778240,67,13.993689,29.3433,13.595358,32.2500
381,780288,82,14.198186,24.5366,,
382,782336,69,14.131312,28.6667,,
383,784384,82,14.199007,23.9878,,
384,786432,72,14.128070,27.3333,,
385,788480,74,14.232619,26.7973,14.256258,26.0000
386,790528,72,14.249721,27.9861,,
387,792576,71,14.110044,27.9014,,
388,794624,72,14.191126,27.4167,,
389,796672,76,14.293079,26.0658,,
390,798720,71,14.343186,27.4225,14.292334,23.0000
391,800768,75,14.032373,26.7867,,
392,802816,78,14.082613,25.4103,,
393,804864,74,14.220372,26.4865,,
394,806912,80,14.450088,24.6375,,
395,808960,72,14.341333,27.5278,13.071011,41.5000
396,811008,82,14.137042,24.1707,,
397,813056,77,13.876305,25.9091,,
398,815104,84,14.065626,23.3929,,
399,817152,76,14.230456,25.4605,,
400,819200,89,14.179954,22.3708,14.888230,41.0000
401,821248,83,13.948710,24.1687,,
402,823296,78,14.236131,25.2564,,
403,825344,80,14.326607,24.4375,,
404,827392,81,14.105300,24.0617,,
405,829440,82,14.118311,24.1707,14.221389,32.2500
406,831488,75,14.281930,26.8000,,
407,833536,81,13.939415,24.2593,,
408,835584,85,14.290724,22.6941,,
409,837632,76,14.223837,26.4211,,
410,839680,81,14.132088,23.8642,13.570461,32.0000
411,841728,80,14.270725,25.0250,,
412,843776,86,13.992483,22.8605,,
413,845824,83,14.023360,23.3855,,
414,847872,83,14.131760,23.7590,,
415,849920,78,14.032534,25.6154,13.665516,33.0000
416,851968,88,14.261559,22.7273,,
417,854016,89,14.033524,22.0337,,
418,856064,90,14.248851,21.6889,,
419,858112,82,14.187926,23.7927,,
420,860160,79,14.200904,25.1392,14.782419,23.0000
421,862208,81,14.104060,24.7654,,
422,864256,82,14.042249,24.0244,,
423,866304,84,14.252912,23.2262,,
424,868352,85,14.169720,23.1529,,
425,870400,85,14.221458,23.2588,13.597949,41.2500
426,872448,85,14.039409,23.2941,,
427,874496,89,14.175618,22.2921,,
428,876544,78,14.060150,25.3333,,
429,878592,87,13.930651,22.2989,,
430,880640,79,14.077319,24.9241,14.535726,24.7500
431,882688,97,14.307907,20.6289,,
432,884736,85,14.189089,22.9765,,
433,886784,87,14.129932,22.5287,,
434,888832,87,14.356231,22.6552,,
435,890880,75,14.240746,26.1600,14.630881,18.5000
436,892928,83,14.223423,23.7470,,
437,894976,78,14.159353,25.2821,,
438,897024,82,14.069265,23.8780,,
439,899072,77,14.079700,25.7013,,
440,901120,91,14.194413,21.4945,15.236574,21.7500
441,903168,86,14.338165,23.2326,,
